RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  109  132     0     0  con    0  1.0D+00  2.8D+00  4.958D-02  2.190D+02
  110  133     0     0  con    0  1.0D+00  4.3D+00  4.347D-02  2.190D+02
  111  136     0     0  con    2  2.2D-02  8.8D+00  1.171D-01  2.190D+02
  112  137     0     0  con    0  1.0D+00  1.5D+00  6.448D-02  2.190D+02
  113  138     0     0  con    0  1.0D+00  3.4D+00  1.051D-02  2.190D+02
  114  139     0     0  con    0  1.0D+00  8.6D+00  2.834D-02  2.189D+02
  115  140     0     0  con    0  1.0D+00  1.1D+01  8.484D-03  2.189D+02
  116  141     0     0  con    0  1.0D+00  6.5D+00  2.401D-02  2.189D+02
  117  142     0     0  con    0  1.0D+00  4.8D+00  2.495D-02  2.189D+02
  118  144     0     0  con    1  1.0D-02  2.7D+00  7.959D-02  2.189D+02
  119  145     0     0  con    0  1.0D+00  7.4D+00  7.981D-02  2.189D+02
  120  147     0     0  con    1  1.3D-02  1.8D+00  2.851D-02  2.189D+02
  121  148     0     0  con    0  1.0D+00  7.9D+00  2.244D-02  2.189D+02
  122  152     0     0  con    3  9.8D-03  5.7D+00  6.046D-02  2.189D+02
  123  153     0     0  con    0  1.0D+00  3.0D+00  3.819D-02  2.189D+02
  124  154     0     0  con    0  1.0D+00  1.2D+00  3.164D-02  2.189D+02
  125  155     0     0  con    0  1.0D+00  2.4D+01  5.071D-02  2.189D+02
  126  156     0     0  con    0  1.0D+00  5.9D+00  1.270D-02  2.189D+02
  127  157     0     0  con    0  1.0D+00  3.2D+00  9.521D-03  2.189D+02
  128  158     0     0  con    0  1.0D+00  4.9D+00  5.677D-02  2.189D+02
  129  160     0     0  con    1  3.4D-01  8.1D+00  7.362D-02  2.189D+02
  130  161     0     0  con    0  1.0D+00  2.0D+00  1.926D-02  2.189D+02
  131  162     0     0  con    0  1.0D+00  2.6D+00  6.369D-03  2.189D+02
  132  164     0     0  con    1  2.7D-02  1.2D+00  3.004D-02  2.189D+02
  133  165     0     0  con    0  1.0D+00  3.2D-01  1.049D-02  2.189D+02
  134  166     0     0  con    0  1.0D+00  4.6D-01  6.645D-03  2.189D+02
  135  167     0     0  con    0  1.0D+00  9.6D-01  2.365D-02  2.189D+02
  136  168     0     0  con    0  1.0D+00  3.2D-01  3.418D-02  2.189D+02
  137  169     0     0  con    0  1.0D+00  3.4D+00  1.480D-02  2.189D+02
  138  171     0     0  con    1  4.5D-01  3.7D+00  2.806D-02  2.189D+02
  139  172     0     0  con    0  1.0D+00  7.2D+00  2.471D-02  2.189D+02
  140  173     0     0  con    0  1.0D+00  3.5D+00  2.083D-02  2.189D+02
  141  175     0     0  con    1  2.9D-02  1.1D-01  6.213D-02  2.189D+02
  142  176     0     0  con    0  1.0D+00  4.4D+00  4.529D-02  2.189D+02
  143  177     0     0  con    0  1.0D+00  6.3D+00  8.352D-03  2.189D+02
  144  178     0     0  con    0  1.0D+00  3.0D+00  2.879D-02  2.189D+02
  145  179     0     0  con    0  1.0D+00  4.8D-01  4.150D-02  2.189D+02
  146  180     0     0  con    0  1.0D+00  1.2D+00  9.908D-02  2.189D+02
  147  181     0     0  con    0  1.0D+00  3.1D+00  5.261D-02  2.189D+02
  148  182     0     0  con    0  1.0D+00  1.1D+00  1.207D-02  2.189D+02
  149  183     0     0  con    0  1.0D+00  8.3D+00  9.920D-02  2.189D+02
  150  184     0     0  con    0  1.0D+00  5.1D-01  1.049D-01  2.189D+02
  151  186     0     0  con    1  7.6D-02  8.9D+00  8.838D-02  2.189D+02
  152  187     0     0  con    0  1.0D+00  8.0D+00  9.171D-02  2.189D+02
  153  188     0     0  con    0  1.0D+00  4.5D+00  7.183D-03  2.189D+02
  154  189     0     0  con    0  1.0D+00  4.1D-01  9.060D-03  2.189D+02
  155  191     0     0  con    1  5.2D-02  2.0D+00  1.231D-02  2.189D+02
  156  192     0     0  con    0  1.0D+00  7.9D+00  1.047D-02  2.189D+02
  157  193     0     0  con    0  1.0D+00  1.5D+01  3.665D-02  2.189D+02
  158  195     0     0  con    1  4.4D-01  2.2D+00  1.166D-01  2.189D+02
  159  196     0     0  con    0  1.0D+00  5.4D-01  3.316D-02  2.189D+02
  160  197     0     0  con    0  1.0D+00  7.3D+00  1.648D-02  2.189D+02
